Site,Transect,Quad,Height,Epibiont,Basibiont,Count,Notes
Pacific Grove 1,1,1,High,Balanus,Pink Volcano Barnacle,1,
Pacific Grove 1,1,2,High,Balanus,California Mussel,16,
Pacific Grove 1,1,2,High,Scabra,California Mussel,4,
Pacific Grove 1,1,3,High,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Pacific Grove 1,1,3,High,Scabra,Pink Volcano Barnacle,1,
Pacific Grove 1,1,3,High,Pink Volcano Barnacle,Pink Volcano Barnacle,2,
Pacific Grove 1,1,3,High,Digitalis,Scabra,1,
Pacific Grove 1,1,3,High,Balanus,Pink Volcano Barnacle,4,
Pacific Grove 1,1,4,High,Crustose Coralline Algae,Pink Volcano Barnacle,7,
Pacific Grove 1,1,4,High,Pink Volcano Barnacle,Pink Volcano Barnacle,9,
Pacific Grove 1,1,5,High,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Pacific Grove 1,1,6,High,Scabra,Pink Volcano Barnacle,2,
Pacific Grove 1,1,6,High,Balanus,Pink Volcano Barnacle,15,
Pacific Grove 1,1,6,High,Crustose Coralline Algae,Pink Volcano Barnacle,1,
Pacific Grove 1,1,6,High,Filamentous Coralline Algae,Pink Volcano Barnacle,1,
Pacific Grove 1,1,8,High,Balanus,Black Tegula,1,
Pacific Grove 1,1,8,High,Digitalis,Black Tegula,3,
Pacific Grove 1,1,9,High,Crustose Coralline Algae,Pink Volcano Barnacle,4,
Pacific Grove 1,1,10,High,Digitalis,File Limpet,1,
Pacific Grove 1,1,10,High,Balanus,File Limpet,1,
Pacific Grove 1,2,1,Low,Balanus,Black Tegula,5,
Pacific Grove 1,2,1,Low,Red Algae,Black Tegula,1,
Pacific Grove 1,2,1,Low,Digitalis,Black Tegula,1,
Pacific Grove 1,2,1,Low,Crustose Coralline Algae,Black Tegula,1,
Pacific Grove 1,2,2,Low,Red Algae,Black Tegula,1,Species of algae not marked
Pacific Grove 1,2,2,Low,Hooked Slippersnail,Black Tegula,2,
Pacific Grove 1,2,2,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Pacific Grove 1,2,3,Low,Crustose Coralline Algae,Black Tegula,2,
Pacific Grove 1,2,3,Low,Balanus,Black Tegula,1,
Pacific Grove 1,2,3,Low,Hooked Slippersnail,Black Tegula,1,
Pacific Grove 1,2,4,Low,Hooked Slippersnail,Black Tegula,1,
Pacific Grove 1,2,4,Low,Crustose Coralline Algae,Nucella,1,
Pacific Grove 1,2,4,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Pacific Grove 1,2,5,Low,Hooked Slippersnail,Black Tegula,3,
Pacific Grove 1,2,5,Low,Scouring Pad Algae,Black Tegula,2,
Pacific Grove 1,2,5,Low,Black Limpet,Hooked Slippersnail,1,
Pacific Grove 1,2,6,Low,Crustose Coralline Algae,Black Tegula,1,
Pacific Grove 1,2,6,Low,Balanus,Black Tegula,1,
Pacific Grove 1,2,7,Low,Red Algae,Black Tegula,1,Species of algae not marked
Pacific Grove 1,2,7,Low,Hooked Slippersnail,Hooked Slippersnail,1,
Pacific Grove 1,2,8,Low,Hooked Slippersnail,Black Tegula,2,
Pacific Grove 1,2,9,Low,Balanus,Black Tegula,4,
Pacific Grove 1,2,9,Low,Digitalis,Black Tegula,1,
Pacific Grove 1,2,9,Low,Hooked Slippersnail,Black Tegula,1,
Pacific Grove 1,2,10,Low,Balanus,Black Tegula,3,
Pacific Grove 1,2,10,Low,Digitalis,Black Tegula,1,
Point Pinos 1,1,1,High,Hooked Slippersnail,Black Tegula,1,
Point Pinos 1,1,4,High,Digitalis,Black Tegula,1,
Point Pinos 1,1,7,High,Balanus,Black Tegula,1,
Point Pinos 1,1,8,High,Balanus,Black Tegula,3,
Point Pinos 1,2,1,Medium,Black Limpet,Black Tegula,1,
