Common/Marked Name,Scientific Name,ID Name (Use this when inputting data),Genus,Family,Order,Class,Phylum,Kingdom,General Grouping,Unknown Photo Folder Name
Serpulid Tubeworm,,Serpulidae,,Serpulidae,Sabellida,Polychaeta,Annelida,Animalia,Animalia,
California Sandcastle Worm,Phragmatopoma californica,Sandcastle Worm,Phragmatopoma,Sabellariidae,,Polychaeta,Annelida,Animalia,Animalia,
Unknown Honeycomb Worm,,Sabellariidae,,Sabellariidae,,Polychaeta,Annelida,Animalia,Animalia,
Acorn Barnacle,Balanus spp.,Balanus,Balanus,Balanidae,Balanomorpha,Hexanauplia,Arthropoda,Animalia,Animalia,
Acorn Barnacle,Chthamalus spp.,Chthamalus,Chthamalus,Chthamalidae,Balanomorpha,Hexanauplia,Arthropoda,Animalia,Animalia,
Pink Volcano Barnacle,Tetraclita rubescens,Pink Volcano Barnacle,Tetraclita,Tetraclitidae,Balanomorpha,Hexanauplia,Arthropoda,Animalia,Animalia,
Gooseneck Barnacle,Pollicipes polymerus,Gooseneck Barnacle,Pollicipes,Pollicipedidae,Pollicipedomorpha,Hexanauplia,Arthropoda,Animalia,Animalia,
(All) Bryozoans,,Bryozoa,,,,,Bryozoa,Animalia,Animalia,
Aggregating Anemone,Anthopleura elegantissima,Aggregating Anemone,Anthopleura,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Animalia,Animalia,
Sunburst Anemone,Anthopleura sola,Sunburst Anemone,Anthopleura,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Animalia,Animalia,
Giant Green Anemone,Anthopleura xanthogrammica,Giant Green Anemone,Anthopleura,Actiniidae,Actiniaria,Anthozoa,Cnidaria,Animalia,Animalia,
Ostrich Plume Hydroid,Aglaophenia spp.,Ostrich Plume Hydroid,Aglaophenia,Aglaopheniidae,Leptothecata,Hydrozoa,Cnidaria,Animalia,Animalia,
Purple Sea Urchin,Strongylocentrotus purpuratus,Purple Sea Urchin,Strongylocentrotus,Strongylocentrotidae,Camarodonta,Echinoidea,Echinodermata,Animalia,Animalia,
California Mussel,Mytilus californianus,California Mussel,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,Animalia,
Mediterranean Mussel,Mytilus galloprovincialis,Blue Mussel Complex,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,Animalia,
Pacific Blue Mussel,Mytilus trossulus,Blue Mussel Complex,Mytilus,Mytilidae,Mytilida,Bivalvia,Mollusca,Animalia,Animalia,
Green Falsejingle,Pododesmus macrochisma,Green Falsejingle,Pododesmus,Anomiidae,Pectinida,Bivalvia,Mollusca,Animalia,Animalia,
Volcano Keyhole Limpet,Fissurella volcano,Volcano Keyhole Limpet,Fissurella,Fissurella,Lepetellida,Gastropoda,Mollusca,Animalia,Animalia,
Hooked Slippersnail,Crepidula adunca,Hooked Slippersnail,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,Animalia,
Crepidula norrisiarum,Crepidula norrisiarum,Crepidula norrisiarum,Crepidula,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,Animalia,
Translucent Slipper Snail,,Translucent Slipper Snail,,Calyptraeidae,Littorinimorpha,Gastropoda,Mollusca,Animalia,Animalia,Clear Slippersnails
