Sample Location,Site,Site Sample Number,Latitude,Longitude
Point Pinos 1,Point Pinos,1,36.63702,-121.93332
Point Pinos 2,Point Pinos,2,36.63806,-121.93802
Great Tidepool 1,Great Tidepool,1,36.63313,-121.93955
Asilomar 1,Asilomar,1,36.62523,-121.94035
Asilomar 2,Asilomar,2,36.62038,-121.94223
Otter Cove 1,Otter Cove,1,36.63051,-121.92207
Cannery Row 1,Cannery Row,1,36.6163,-121.89945
Lovers Point 1,Lovers Point,1,36.62618,-121.9154
Cannery Row 2,Cannery Row,2,36.61649,-121.89935
Carmel Point 1,Carmel Point,1,36.54418,-121.93388
